text,attribute,model answer,model choise,answer
北緯41.667度,島,0.0,crowd,0
ヨンショーピング,湖岸の地域区分,1.0,crowd,1
東経141.333度,座標・経度,1.0,system,0
久美の浜温泉郷,観光地,0.0,crowd,1
石炭,動物,0.0,crowd,0
ミネアポリス,公園,0.0,crowd,0
ヨシノボリ,別名,0.0,crowd,0
アルバニア,国,0.0,crowd,0
農業,産業,0.0,crowd,0
湊,湖岸の地域区分,0.0,crowd,0
2.7▁m,成因,0.0,crowd,0
東経139.46222度,幅,0.0,crowd,0
北緯43度18分0秒,島,1.0,system,0
アララル自然公園,公園,1.0,crowd,0
マツ,植物,1.0,crowd,1
36.50083,島,0.0,crowd,0
1728年,形成時期,0.0,crowd,0
上江橋,橋・トンネル,1.0,crowd,0
ハリミズゴケ,植物,1.0,crowd,1
鶴の舞橋,橋・トンネル,1.0,crowd,1
43.30000,島,0.0,crowd,0
64.617,島,0.0,crowd,0
宇佐市の農業用水を溜める貯水池として造られた,成因,0.0,crowd,0
赤沼溜池,動物,0.0,crowd,0
利根川洪水,流入・流出河川,0.0,crowd,0
246▁sq▁mi,面積,1.0,crowd,1
北緯48度00分,島,0.0,crowd,0
イラン,国,1.0,crowd,0
中央アジアと東ヨーロッパの境界,所在地,1.0,crowd,1
ロシア,国,1.0,crowd,0
北緯37.28944度,座標・緯度,1.0,system,0
カキ,別名,0.0,crowd,0
湖,種類,1.0,crowd,1
20m程度,平均水深,0.0,crowd,0
アゼルバイジャン,国,1.0,crowd,0
旧建設省により荒川中流域における洪水･渇水対策として計画された,成因,0.0,crowd,0
カワツルモ,動物,0.0,crowd,0
火山,種類,0.0,crowd,0
構造湖,種類,0.0,crowd,0
北緯43度26分45秒,島,0.0,crowd,0
西経110.87222度,座標・経度,1.0,crowd,0
東経136度48分50秒,座標・経度,1.0,system,0
沼,種類,1.0,crowd,1
湖,種類,1.0,crowd,1
"3,755▁km2",面積,1.0,crowd,1
水戸八景,観光地,1.0,crowd,0
北緯36.81333度,島,0.0,crowd,0
Mizisiriike,動物,0.0,crowd,0
5.11389,幅,0.0,crowd,0
170▁m,最大水深,1.0,crowd,1
307マイル,長さ,1.0,crowd,1
ウナギ,動物,1.0,crowd,1
Hiawatha▁National▁Forest,公園,1.0,crowd,0
北緯47.911667度,座標・緯度,1.0,system,0
西経61度37分41秒,幅,1.0,system,0
湖,種類,1.0,crowd,1
134.89944,座標・経度,0.0,crowd,0
年,形成時期,0.0,crowd,0
2.6845,島,0.0,crowd,0
フランス,国,1.0,crowd,0
2▁▁km,周囲長,1.0,crowd,1
イラン,国,1.0,crowd,1
化学工業,産業,1.0,crowd,0
スコップ,動物,0.0,crowd,0
地域,動物,0.0,crowd,0
イノシシ,動物,1.0,crowd,1
アルゼンチン,国,0.0,crowd,0
印旛放水路,流入・流出河川,1.0,system,1
カザフスタン,国,1.0,crowd,0
津堅島,島,1.0,crowd,0
火山湖,成因,1.0,crowd,1
約4.6m,長さ,0.0,crowd,0
東経131度15分23秒,座標・経度,1.0,system,0
鷹架野鳥,公園,0.0,crowd,0
カスピ海の奥,所在地,0.0,crowd,0
ブリティッシュコロンビア州,所在地,1.0,crowd,1
東京都と埼玉県,所在地,0.0,crowd,0
大切畑ダム,動物,0.0,crowd,0
1989年,形成時期,0.0,crowd,0
400,最大水深,0.0,crowd,0
コロラド川,流入・流出河川,1.0,system,1
約4.6m,最大水深,0.0,crowd,0
コバネアオイトンボ,別名,0.0,crowd,0
津軽富士,読み,0.0,crowd,0
オジロワシ,動物,1.0,crowd,1
みどろ,別名,0.0,crowd,0
ニジマス,別名,0.0,crowd,0
中央アジア,所在地,0.0,crowd,0
ウェブスター湖,動物,0.0,crowd,0
支笏湖湖水まつり,観光地,0.0,crowd,0
ラシュト,湖岸の地域区分,1.0,crowd,1
桜,植物,1.0,crowd,0
金武湾,島,0.0,crowd,0
地溝,成因,0.0,crowd,0
イン,動物,0.0,crowd,0
鴨,動物,1.0,crowd,1
室ノ久保集落,湖岸の地域区分,0.0,crowd,0
7.5▁▁km,周囲長,1.0,crowd,1
